,distrito_local,casillas
1,AGUA PRIETA VII,13
2,CABORCA III,13
3,CAJEME XV,18
4,CAJEME XVI,19
5,CAJEME XVII,19
6,EMPALME XIV,15
7,ETCHOJOA XX,16
8,GUAYMAS XIII,15
9,HERMOSILLO IX,18
10,HERMOSILLO VI,24
11,HERMOSILLO VIII,16
12,HERMOSILLO X,16
13,HERMOSILLO XI,13
14,HERMOSILLO XII,12
15,HUATABAMPO XXI,15
16,NAVOJOA XIX,14
17,NOGALES IV,15
18,NOGALES V,17
19,PUERTO PEÑASCO II,16
20,SAN LUIS RIO COLORADO I,17
21,SANTA ANA XVIII,26
