seccion_casilla,distrito_local,DISTRITO_L,casilla_tipo,seccion,CASILLA,PRIANRD,MORENA,candidato_no_registrado,votos_nulos,votacion_total_emitida,lista_nominal,hora_captura
678 BASICA,SAN LUIS RIO COLORADO I    ,1,URBANA,678,BASICA,158,95,0,7,260,577,06/06/2021 23:44
705 CONTIGUA 2,SAN LUIS RIO COLORADO I    ,1,URBANA,705,CONTIGUA 2,77,153,1,5,236,533,07/06/2021 04:29
692 CONTIGUA 1,SAN LUIS RIO COLORADO I    ,1,URBANA,692,CONTIGUA 1,99,86,0,8,193,453,07/06/2021 02:31
742 CONTIGUA 2,PUERTO PEÑASCO II,2,RURAL,742,CONTIGUA 2,93,149,1,7,250,678,07/06/2021 04:09
661 CONTIGUA 2,PUERTO PEÑASCO II,2,RURAL,661,CONTIGUA 2,89,142,0,1,232,705,06/06/2021 21:16
638 CONTIGUA 9,PUERTO PEÑASCO II,2,URBANA,638,CONTIGUA 9,212,119,2,10,343,726,06/06/2021 20:02
646 CONTIGUA 1,PUERTO PEÑASCO II,2,URBANA,646,CONTIGUA 1,170,112,1,7,290,517,07/06/2021 02:49
644 CONTIGUA 3,PUERTO PEÑASCO II,2,URBANA,644,CONTIGUA 3,198,119,0,15,332,740,07/06/2021 01:03
631 CONTIGUA 4,PUERTO PEÑASCO II,2,URBANA,631,CONTIGUA 4,181,112,0,17,310,656,07/06/2021 03:15
644 CONTIGUA 4,PUERTO PEÑASCO II,2,URBANA,644,CONTIGUA 4,198,125,0,10,333,740,06/06/2021 23:46
644 CONTIGUA 1,PUERTO PEÑASCO II,2,URBANA,644,CONTIGUA 1,221,130,1,12,364,740,07/06/2021 01:54
631 CONTIGUA 2,PUERTO PEÑASCO II,2,URBANA,631,CONTIGUA 2,208,112,1,18,339,656,07/06/2021 03:16
637 CONTIGUA 1,PUERTO PEÑASCO II,2,URBANA,637,CONTIGUA 1,198,125,1,7,331,608,07/06/2021 04:46
729 CONTIGUA 6,PUERTO PEÑASCO II,2,URBANA,729,CONTIGUA 6,80,149,0,7,236,708,07/06/2021 03:16
638 CONTIGUA 12,PUERTO PEÑASCO II,2,URBANA,638,CONTIGUA 12,202,128,0,6,336,726,06/06/2021 20:48
738 BASICA,PUERTO PEÑASCO II,2,RURAL,738,BASICA,116,138,0,12,266,714,06/06/2021 22:30
737 EXTRAORDINARIA 1 CONTIGUA 1,PUERTO PEÑASCO II,2,RURAL,737,EXTRAORDINARIA 1 CONTIGUA 1,0,0,0,0,0,713,07/06/2021 02:49
732 CONTIGUA 2,PUERTO PEÑASCO II,2,URBANA,732,CONTIGUA 2,127,161,0,12,300,538,06/06/2021 20:24
731 BASICA,PUERTO PEÑASCO II,2,URBANA,731,BASICA,147,113,1,7,268,540,06/06/2021 20:23
192 CONTIGUA 3,NOGALES V,5,URBANA,192,CONTIGUA 3,135,132,0,9,276,647,07/06/2021 04:19
169 BASICA,NOGALES V,5,URBANA,169,BASICA,167,90,0,14,271,666,07/06/2021 00:05
197 BASICA,NOGALES V,5,URBANA,197,BASICA,78,61,1,7,147,343,07/06/2021 02:06
205 CONTIGUA 2,NOGALES V,5,URBANA,205,CONTIGUA 2,113,145,0,7,265,655,06/06/2021 21:41
205 CONTIGUA 3,NOGALES V,5,URBANA,205,CONTIGUA 3,119,132,0,4,255,655,07/06/2021 03:47
161 BASICA,NOGALES V,5,URBANA,161,BASICA,93,54,0,4,151,407,07/06/2021 02:59
185 CONTIGUA 1,NOGALES V,5,URBANA,185,CONTIGUA 1,174,127,1,6,308,588,07/06/2021 03:31
182 BASICA,NOGALES V,5,URBANA,182,BASICA,126,98,0,8,232,572,07/06/2021 00:50
183 BASICA,NOGALES V,5,URBANA,183,BASICA,113,84,0,6,203,459,07/06/2021 03:58
164 BASICA,NOGALES V,5,URBANA,164,BASICA,130,149,0,8,287,639,06/06/2021 21:10
201 BASICA,NOGALES V,5,URBANA,201,BASICA,138,96,0,3,237,560,07/06/2021 03:03
221 CONTIGUA 8,NOGALES V,5,URBANA,221,CONTIGUA 8,136,163,0,6,305,705,07/06/2021 04:12
1376 CONTIGUA 1,NOGALES V,5,URBANA,1376,CONTIGUA 1,57,191,0,6,254,554,07/06/2021 02:01
210 CONTIGUA 2,NOGALES V,5,URBANA,210,CONTIGUA 2,120,148,0,14,282,636,06/06/2021 20:53
221 CONTIGUA 1,NOGALES V,5,URBANA,221,CONTIGUA 1,121,178,0,14,313,706,06/06/2021 22:46
220 BASICA,NOGALES V,5,URBANA,220,BASICA,108,140,0,17,265,608,07/06/2021 03:36
1377 CONTIGUA 1,NOGALES V,5,URBANA,1377,CONTIGUA 1,88,204,0,8,300,661,06/06/2021 22:57
129 CONTIGUA 2,NOGALES IV,4,URBANA,129,CONTIGUA 2,199,108,0,12,319,628,07/06/2021 01:30
130 CONTIGUA 3,NOGALES IV,4,URBANA,130,CONTIGUA 3,201,131,0,25,357,677,06/06/2021 23:50
123 CONTIGUA 1,NOGALES IV,4,URBANA,123,CONTIGUA 1,235,106,0,16,357,680,07/06/2021 01:00
126 CONTIGUA 1,NOGALES IV,4,URBANA,126,CONTIGUA 1,215,93,0,7,315,734,06/06/2021 23:51
1438 CONTIGUA 2,NOGALES IV,4,RURAL,1438,CONTIGUA 2,64,147,0,2,213,551,06/06/2021 20:01
264 EXTRAORDINARIA 1,NOGALES IV,4,RURAL,264,EXTRAORDINARIA 1,357,79,0,25,461,573,07/06/2021 00:56
1387 BASICA,NOGALES IV,4,URBANA,1387,BASICA,89,152,0,2,243,488,07/06/2021 03:28
217 CONTIGUA 6,NOGALES IV,4,URBANA,217,CONTIGUA 6,165,142,0,13,320,719,07/06/2021 03:22
1379 BASICA,NOGALES IV,4,URBANA,1379,BASICA,144,225,0,15,384,655,06/06/2021 20:44
1425 BASICA,NOGALES IV,4,URBANA,1425,BASICA,73,129,0,8,210,502,07/06/2021 00:40
1429 BASICA,NOGALES IV,4,URBANA,1429,BASICA,86,179,0,12,277,626,06/06/2021 21:33
223 CONTIGUA 7,NOGALES IV,4,URBANA,223,CONTIGUA 7,124,219,0,6,349,726,06/06/2021 20:26
1388 BASICA,NOGALES IV,4,URBANA,1388,BASICA,120,185,0,11,316,596,06/06/2021 21:18
215 CONTIGUA 3,NOGALES IV,4,URBANA,215,CONTIGUA 3,136,159,1,4,300,587,06/06/2021 21:51
1389 CONTIGUA 1,NOGALES IV,4,URBANA,1389,CONTIGUA 1,82,141,0,6,229,475,07/06/2021 04:37
1260 CONTIGUA 1,NAVOJOA XIX,19,URBANA,1260,CONTIGUA 1,150,242,0,12,404,666,07/06/2021 00:05
1260 CONTIGUA 4,NAVOJOA XIX,19,URBANA,1260,CONTIGUA 4,150,242,0,12,404,665,06/06/2021 20:55
1269 CONTIGUA 1,NAVOJOA XIX,19,URBANA,1269,CONTIGUA 1,178,184,0,3,365,591,07/06/2021 01:01
